Rank, Peak, Elevation, Range, Member Ascents, With Daughters
1, Mt. Elbert, 14433, Sawatch Range, 12616, 1 
2, Mt. Massive, 14421, Sawatch Range, 8916, 0 
3, Mt. Harvard, 14420, Sawatch Range, 6859, 0 
4, Blanca Peak,	14345, Sangre de Cristo, 4525, 0 
5, La Plata Peak, 14336, Sawatch Range, 8485, 0 
6, Uncompahgre Peak, 14309, San Juan Mountains, 5704, 0 
7, Crestone Peak, 14294, Sangre de Cristo, 3920, 0 
8, Mt. Lincoln,	14286, Mosquito Range, 13026, 1 
9, Grays Peak, 14270, Front Range, 15173, 2 
10, Mt. Antero,	14269, Sawatch Range, 6233, 0
11, Torreys Peak, 14267, Front Range, 14234, 2 
12, Castle Peak, 14265, Elk Mountains, 5345, 0 
13, Quandary Peak, 14265, Tenmile Range, 14396, 1 
14, Mt. Evans, 14264, Front Range, 11226, 5 
15, Longs Peak,	14255, Front Range, 9093, 0 
16, Mt. Wilson,	14246, San Juan Mountains, 2830, 0 
17, Mt. Shavano, 14229, Sawatch Range, 8468, 2 
18, Mt. Princeton, 14197, Sawatch Range, 8090, 0 
19, Mt. Belford, 14197, Sawatch Range, 8902, 2 
20, Crestone Needle, 14197, Sangre de Cristo, 4175, 0 
21, Mt. Yale, 14196, Sawatch Range, 8653, 1 
22, Mt. Bross, 14172, Mosquito Range, 12571, 1 
23, Kit Carson Peak, 14165, Sangre de Cristo, 4284, 0 
24, Maroon Peak, 14156, Elk Mountains, 3152, 0 
25, Tabeguache Peak, 14155, Sawatch Range, 6856, 0	
26, Mt. Oxford,	14153, Sawatch Range, 7722, 1	
27, Mt. Sneffels, 14150, San Juan Mountains, 5780, 0 
28, Mt. Democrat, 14148, Mosquito Range, 13740, 4 
29, Capitol Peak, 14130, Elk Mountains, 3170, 0 
30, Pikes Peak,	14110, Front Range, 9170, 4 
31, Snowmass Mountain, 14092, Elk Mountains, 3116, 0 
32, Windom Peak, 14087, San Juan Mountains, 3370, 0 
33, Mt. Eolus,	14083, San Juan Mountains, 3021, 0 
34, Challenger Point, 14081, Sangre de Cristo, 4574, 0 
35, Mt. Columbia, 14073, Sawatch Range, 5967, 3 
36, Missouri Mountain, 14067, Sawatch Range, 7017, 1 
37, Humboldt Peak, 14064, Sangre de Cristo, 5938, 0 
38, Mt. Bierstadt, 14060, Front Range, 14715, 4 
39, Sunlight Peak, 14059, San Juan Mountains, 3287, 0 
40, Handies Peak, 14048, San Juan Mountains, 6261, 0 
41, Culebra Peak, 14047, Sangre de Cristo, 2681, 0 
42, Mt. Lindsey, 14042, Sangre de Cristo, 4591, 0 
43, Ellingwood Point, 14042, Sangre de Cristo, 3848, 0 
44, Little Bear Peak, 14037, Sangre de Cristo, 2904, 0 
45, Mt. Sherman, 14036, Mosquito Range, 11949, 4 
46, Redcloud Peak, 14034, San Juan Mountains, 6049, 0 
47, Pyramid Peak, 14018, Elk Mountains, 3303, 0 
48, Wilson Peak, 14017, San Juan Mountains, 3095, 0 
49, Wetterhorn Peak, 14015, San Juan Mountains, 4954, 0 
50, San Luis Peak, 14014, San Juan Mountains, 4491, 0 
51, Mt. of the Holy Cross, 14005, Sawatch Range, 7059, 0 
52, Huron Peak,	14003, Sawatch Range, 8941, 2 
53, Sunshine Peak, 14001, San Juan Mountains, 5698, 0 
